ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-129652,A,Araceae,,Monstera,,"pertusa",var.,"klotzschiana","(Schott) Engl.",Synonym,,L,WCSP,129652,,"Fl. Bras.","3(2): 113","","1878",kew-129571
kew-335542,A,Araceae,,Monstera,,"pertusa",f.,"klotzschiana","(Schott) Voss",Synonym,,L,WCSP,335542,,"Vilm. Blumengärtn. ed. 3","1: 1178","","1895",kew-129571
kew-129653,A,Araceae,,Monstera,,"pertusa",var.,"laniata","(Schott) Engl.",Synonym,,L,WCSP,129653,,"Fl. Bras.","3(2): 113","","1878",kew-129572
kew-129654,A,Araceae,,Monstera,,"pertusa",var.,"modesta","(Schott) Engl.",Synonym,,L,WCSP,129654,,"Fl. Bras.","3(2): 113","","1878",kew-129571
kew-335543,A,Araceae,,Monstera,,"pertusa",f.,"modesta","(Schott) Voss",Synonym,,L,WCSP,335543,,"Vilm. Blumengärtn. ed. 3","1: 1178","","1895",kew-129571
kew-129655,A,Araceae,,Monstera,,"peruviana",,"","Engl.",Synonym,,H,WCSP,129655,163955-2,"Bot. Jahrb. Syst.","37: 117","","1905",kew-129591
tro-100354302,A,Araceae,,Monstera,,"pichichense",,"","Croat",Unresolved,,L,TRO,100354302,,"","","","",
kew-129656,A,Araceae,,Monstera,,"pinnata",,"","(L.) Schott",Synonym,,H,WCSP,129656,87536-1,"Wiener Z. Kunst","4: 1028","","1830",kew-70510
kew-129657,A,Araceae,,Monstera,,"pinnatifida",,"","Schott",Synonym,,H,WCSP,129657,87537-1,"Wiener Z. Kunst","4: 1028","","1830",kew-129570
kew-129658,A,Araceae,,Monstera,,"pinnatipartita",,"","Schott",Accepted,,H,WCSP,129658,315164-2,"Oesterr. Bot. Wochenbl.","7: 197","","1857",
tro-50292540,A,Araceae,,Monstera,,"pirrense",,"","Croat",Unresolved,,L,TRO,50292540,,"","","","",
kew-129659,A,Araceae,,Monstera,,"pittieri",,"","Engl.",Accepted,,H,WCSP,129659,163956-2,"Bot. Jahrb. Syst.","37: 116","","1905",
tro-50321494,A,Araceae,,Monstera,,"planadaensis",,"","Croat",Unresolved,,L,TRO,50321494,,"","","","",
kew-129660,A,Araceae,,Monstera,,"poeppigii",,"","Schott",Synonym,,H,WCSP,129660,87539-1,"Prodr. Syst. Aroid.","365","","1860",kew-129572
kew-254635,A,Araceae,,Monstera,,"praetermissa",,"","E.G.Gonç. & Temponi",Accepted,,H,WCSP,254635,330207-2,"Brittonia","56: 72","","2004",
kew-129661,A,Araceae,,Monstera,,"protensa",,"","Schott ex Engl.",Synonym,Invalid,H,WCSP,129661,87540-1,"Monogr. Phan.","2: 263","","1879",kew-129570
kew-129662,A,Araceae,,Monstera,,"punctulata",,"","(Schott) Schott ex Engl.",Accepted,,H,WCSP,129662,87541-1,"Monogr. Phan.","2: 259","","1879",
tro-50292502,A,Araceae,,Monstera,,"puntarenense",,"","Croat",Unresolved,,L,TRO,50292502,,"","","","",
kew-129663,A,Araceae,,Monstera,,"roseospadix",,"","Matuda",Synonym,,H,WCSP,129663,163957-2,"Madroño","10: 47","","1949",kew-178235
kew-129664,A,Araceae,,Monstera,,"sagotiana",,"","Engl.",Synonym,,H,WCSP,129664,163958-2,"Bot. Jahrb. Syst.","37: 117","","1905",kew-129639
kew-129665,A,Araceae,,Monstera,,"seemannii",,"","Schott",Synonym,,H,WCSP,129665,87544-1,"Oesterr. Bot. Z.","9: 40","","1859",kew-129570
kew-129666,A,Araceae,,Monstera,,"siltepecana",,"","Matuda",Accepted,,H,WCSP,129666,163959-2,"Revista Soc. Mex. Hist. Nat.","11: 97","","1950",
tro-2105330,A,Araceae,,Monstera,,"skutchii",,"","Croat & Grayum",Unresolved,,L,TRO,2105330,,"","","","",
kew-129667,A,Araceae,,Monstera,,"snethlagei",,"","K.Krause",Synonym,,H,WCSP,129667,163960-2,"Notizbl. Bot. Gart. Berlin-Dahlem","9: 272","","1925",kew-129639
kew-129668,A,Araceae,,Monstera,,"spruceana",,"","(Schott) Engl.",Accepted,,H,WCSP,129668,87547-1,"Fl. Bras.","3(2): 115","","1878",
kew-129669,A,Araceae,,Monstera,,"standleyana",,"","G.S.Bunting",Accepted,,H,WCSP,129669,163961-2,"Baileya","14: 133","","1967",
kew-129670,A,Araceae,,Monstera,,"steyermarkii",,"","G.S.Bunting",Synonym,,H,WCSP,129670,163962-2,"Acta Bot. Venez.","10: 288","","1975",kew-129668
kew-129671,A,Araceae,,Monstera,,"subpinnata",,"","(Schott) Engl.",Accepted,,H,WCSP,129671,87550-1,"Monogr. Phan.","2: 267","","1879",
kew-129672,A,Araceae,,Monstera,,"surinamensis",,"","(Miq.) Schott",Synonym,,H,WCSP,129672,87551-1,"Oesterr. Bot. Z.","8: 387","","1858",kew-129572
kew-129673,A,Araceae,,Monstera,,"tacanaensis",,"","Matuda",Synonym,,H,WCSP,129673,163965-2,"Anales Inst. Biol. Univ. Nac. Autón. México, Bot.","43: 55","","1972",kew-129588
tro-50292539,A,Araceae,,Monstera,,"talamancaense",,"","Croat",Unresolved,,L,TRO,50292539,,"","","","",
kew-129674,A,Araceae,,Monstera,,"tenuis",,"","K.Koch",Accepted,,H,WCSP,129674,87553-1,"Index Seminum (B)","1855(App.): 4","","1855",
tro-2103161,A,Araceae,,Monstera,,"trijuga",,"","K. Koch ex Ender",Unresolved,,L,TRO,2103161,87554-1,"Index Aroid.","73","73","",
kew-129675,A,Araceae,,Monstera,,"tuberculata",,"","Lundell",Accepted,,H,WCSP,129675,163963-2,"Lloydia","2: 78","","1939",
kew-129676,A,Araceae,,Monstera,,"tuberculata",var.,"brevinoda","(Standl. & L.O.Williams) Madison",Accepted,,L,WCSP,129676,,"Contr. Gray Herb.","207: 92","","1977",
kew-129678,A,Araceae,,Monstera,,"uleana",,"","Engl.",Synonym,,H,WCSP,129678,163964-2,"Bot. Jahrb. Syst.","37: 118","","1905",kew-129671
kew-129679,A,Araceae,,Monstera,,"unilatera",,"","Rusby",Synonym,,H,WCSP,129679,163967-2,"Bull. New York Bot. Gard.","6: 494","","1910",kew-129639
kew-344422,A,Araceae,,Monstera,,"vasquezii",,"","Croat",Accepted,,H,WCSP,344422,60441708-2,"Rodriguésia","56: 96","","2005",
kew-129680,A,Araceae,,Monstera,,"velloziana",,"","Schott",Synonym,,H,WCSP,129680,87558-1,"Oesterr. Bot. Wochenbl.","4: 66","","1854",kew-129571
kew-129681,A,Araceae,,Monstera,,"viridispatha",,"","Matuda",Synonym,,H,WCSP,129681,163968-2,"Revista Soc. Mex. Hist. Nat.","11: 98","","1950",kew-129568
kew-129682,A,Araceae,,Monstera,,"xanthospatha",,"","Madison",Accepted,,H,WCSP,129682,163969-2,"Contr. Gray Herb.","207: 65","","1977",
tro-50306497,A,Araceae,,Monstera,,"zhuii",,"","Croat",Unresolved,,L,TRO,50306497,,"","","","",
